iter	Logloss
0	0.6890105329
1	0.6851044137
2	0.6812351336
3	0.677562779
4	0.6739293562
5	0.6703980364
6	0.667056318
7	0.6635262626
8	0.6609637887
9	0.6580490984
10	0.6543359811
11	0.65112357
12	0.648006025
13	0.6452338954
14	0.6415392194
15	0.6383905029
16	0.6354297747
17	0.6333751569
18	0.6303711809
19	0.627129473
20	0.6251763916
21	0.6229681832
22	0.6206416103
23	0.6184431676
24	0.6165273176
25	0.6138724627
26	0.6112808664
27	0.6086480713
28	0.6060382952
29	0.603671875
30	0.6014372035
31	0.5988213675
32	0.5970207868
33	0.5949933733
34	0.5929685756
35	0.5907141113
36	0.5889880807
37	0.5872200666
38	0.5849088832
39	0.5831253488
40	0.5814143154
41	0.5794885254
42	0.5780063738
43	0.5759524972
44	0.5746088518
45	0.5727612305
46	0.5707469831
47	0.5685584804
48	0.5668161011
49	0.5647033255
50	0.5632802037
51	0.5617021397
52	0.5602331543
53	0.5587196568
54	0.5572656686
55	0.5560334124
56	0.554143764
57	0.5526377651
58	0.5509175328
59	0.5492320469
60	0.5478203474
61	0.5465313721
62	0.5447271729
63	0.5429209246
64	0.5414909581
65	0.5397920009
66	0.5383888027
67	0.537350987
68	0.5360121373
69	0.53475817
70	0.5336633737
71	0.5320353045
72	0.5307853481
73	0.5294867379
74	0.5276251657
75	0.5261843872
76	0.5244785854
77	0.5230405971
78	0.5214597866
79	0.5203521293
80	0.5193460519
81	0.5180146572
82	0.516879534
83	0.5159601702
84	0.5144638497
85	0.5130209351
86	0.5120464216
87	0.5110019357
88	0.509634661
89	0.5085264369
90	0.5075645665
91	0.5064028931
92	0.5053494699
93	0.5041962542
94	0.5031960188
95	0.5022391619
96	0.5013550677
97	0.4996201869
98	0.4988305664
99	0.4978131975
100	0.4966947283
101	0.4957349505
102	0.4948951067
103	0.4938658796
104	0.49262146
105	0.4912180873
106	0.4901770891
107	0.4887644741
108	0.4875452532
109	0.4865210397
110	0.4857962908
111	0.4846058873
112	0.4835198103
113	0.4820611572
114	0.4808024815
115	0.4798083496
116	0.4788262939
117	0.4779496111
118	0.4769291469
119	0.475900007
120	0.4750304304
121	0.4739998518
122	0.4734006173
123	0.4720720564
124	0.4714534651
125	0.4707196045
126	0.4699870518
127	0.4694197301
128	0.4686921038
129	0.4678723145
130	0.4669006348
131	0.4659950474
132	0.4653555734
133	0.4645028687
134	0.4635357666
135	0.463049142
136	0.4622545079
137	0.4612446812
138	0.4604726301
139	0.4596248082
140	0.4584819685
141	0.4575247628
142	0.4567367118
143	0.456186785
144	0.4554141235
145	0.4543630545
146	0.4534231131
147	0.4527553885
148	0.4517433384
149	0.4510013253
150	0.4501244681
151	0.44941088
152	0.4486932373
153	0.4479603359
154	0.4473574393
155	0.4467848424
156	0.446216823
157	0.4456172398
158	0.4451045881
159	0.4444679914
160	0.4436704363
161	0.4428366525
162	0.4422385951
163	0.4415972464
164	0.4408684867
165	0.4400436837
166	0.4394068255
167	0.4387638637
168	0.4382296317
169	0.4373651123
170	0.4368705532
171	0.4362799944
172	0.4354549735
173	0.4347909982
174	0.434130903
175	0.4336852155
176	0.4330531965
177	0.4325800432
178	0.4317771694
179	0.4309756906
180	0.4307407924
181	0.4301882499
182	0.4295427595
183	0.4287496512
184	0.4281449672
185	0.4275408064
186	0.4268883405
187	0.4260244751
188	0.4254195731
189	0.4246813093
190	0.4240036883
191	0.4235486276
192	0.4229462106
193	0.4224989973
194	0.4219635882
195	0.421298305
196	0.4208347866
197	0.4204149519
198	0.4199460275
199	0.4194400024
200	0.4190688215
201	0.4185055542
202	0.4180355835
203	0.4176875523
204	0.4170355225
205	0.4165836443
206	0.4158189174
207	0.4153283691
208	0.4147848947
209	0.4143840681
210	0.4138328334
211	0.4133203125
212	0.4126090785
213	0.4116653878
214	0.4109259469
215	0.410178615
216	0.4096985735
217	0.4090081351
218	0.4085430036
219	0.408038766
220	0.4074945504
221	0.406721889
222	0.4061594936
223	0.405549796
224	0.405037275
225	0.4043055071
226	0.4037043108
227	0.4032694789
228	0.4026749965
229	0.401884504
230	0.4013748605
231	0.4009885951
232	0.4005581229
233	0.3998079572
234	0.3992622593
235	0.3988741629
236	0.3982716588
237	0.397928554
